序号,采集时间,发出时间,链路,延迟(毫秒),抖动(毫秒),丢包率(%),最小延迟,最大延迟,中位延迟,95百分位延迟,99百分位延迟,帧到达延迟,帧间隔（毫秒）,丢帧率(%),测量类型,时钟同步有效,时钟同步状态,时钟偏移(毫秒),同步RTT(毫秒),同步年龄(毫秒),偏移不确定度上界(毫秒),同步样本数
81,2026-08-21 09:50:57.095,2026-08-21 09:50:57.058,PC<->VR 状态同步,37.97,0.31,0.00,37.97,38.93,38.38,38.93,38.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55262.604,5.453,128.0,3.264,7
82,2026-08-21 09:50:57.096,2026-08-21 09:50:57.093,MoCap→PC,7.59,0.30,0.00,5.17,9.52,7.33,8.61,9.35,7.59,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
83,2026-08-21 09:50:57.101,2026-08-21 09:50:57.095,EyeTracking→PC,6.26,1.73,0.00,2.20,22.28,6.46,18.22,21.93,6.26,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,135.0,3.264,7
84,2026-08-21 09:50:57.107,2026-08-21 09:50:57.104,MoCap→PC,9.61,0.30,0.00,5.17,9.61,7.33,8.84,9.53,9.61,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
85,2026-08-21 09:50:57.109,2026-08-21 09:50:57.106,EyeTracking→PC,2.90,1.73,0.00,2.20,22.28,6.26,18.04,21.92,2.90,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55263.109,5.453,7.9,3.214,8
86,2026-08-21 09:50:57.118,2026-08-21 09:50:57.115,MoCap→PC,7.48,0.30,0.00,5.17,9.61,7.38,8.82,9.53,7.48,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
87,2026-08-21 09:50:57.119,2026-08-21 09:50:57.116,EyeTracking→PC,3.01,1.73,0.00,2.20,22.28,6.22,17.85,21.91,3.01,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55263.109,5.453,18.1,3.214,8
88,2026-08-21 09:50:57.128,2026-08-21 09:50:57.091,PC<->VR 状态同步,37.97,0.32,0.00,37.97,38.93,38.38,38.93,38.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55263.109,5.453,26.0,3.214,8
89,2026-08-21 09:50:57.129,2026-08-21 09:50:57.127,MoCap→PC,7.41,0.36,0.00,5.17,9.61,7.41,8.80,9.53,7.41,12.00,0.00,,false,,0.000,0.000,0.0,0.000,0
90,2026-08-21 09:50:57.139,2026-08-21 09:50:57.127,EyeTracking→PC,12.20,1.73,0.00,2.20,22.28,6.26,17.67,21.90,12.20,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55263.109,5.453,38.5,3.214,8
91,2026-08-21 09:50:57.139,2026-08-21 09:50:57.137,EyeTracking→PC,2.22,1.73,0.00,2.20,22.28,6.22,17.65,21.89,2.22,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55263.109,5.453,38.6,3.214,8
92,2026-08-21 09:50:57.141,2026-08-21 09:50:57.138,MoCap→PC,8.42,0.36,0.00,5.17,9.61,7.42,8.78,9.53,8.42,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
93,2026-08-21 09:50:57.150,2026-08-21 09:50:57.148,MoCap→PC,6.84,0.44,0.00,5.17,9.61,7.41,8.75,9.52,6.84,10.00,0.00,,false,,0.000,0.000,0.0,0.000,0
94,2026-08-21 09:50:57.151,2026-08-21 09:50:57.148,EyeTracking→PC,3.54,1.73,0.00,2.20,22.28,6.18,17.63,21.88,3.54,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55263.109,5.453,51.7,3.214,8
95,2026-08-21 09:50:57.160,2026-08-21 09:50:57.123,PC<->VR 状态同步,37.97,0.32,0.00,37.97,38.93,38.38,38.93,38.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55263.109,5.453,57.7,3.214,8
96,2026-08-21 09:50:57.163,2026-08-21 09:50:57.160,MoCap→PC,7.40,0.44,0.00,5.17,9.61,7.40,8.73,9.52,7.40,12.00,0.00,,false,,0.000,0.000,0.0,0.000,0
97,2026-08-21 09:50:57.165,2026-08-21 09:50:57.158,EyeTracking→PC,7.78,1.73,0.00,2.20,22.28,6.22,17.61,21.87,7.78,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55263.109,5.453,64.7,3.214,8
98,2026-08-21 09:50:57.173,2026-08-21 09:50:57.171,MoCap→PC,6.10,0.44,0.00,5.17,9.61,7.40,8.71,9.52,6.10,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
99,2026-08-21 09:50:57.176,2026-08-21 09:50:57.168,EyeTracking→PC,8.54,1.73,0.00,2.20,22.28,6.26,17.59,21.86,8.54,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55263.109,5.453,76.4,3.214,8
100,2026-08-21 09:50:57.178,2026-08-21 09:50:57.141,PC<->VR 状态同步,37.97,0.32,0.00,37.97,38.93,38.38,38.93,38.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55263.109,5.453,76.6,3.214,8
101,2026-08-21 09:50:57.183,2026-08-21 09:50:57.178,EyeTracking→PC,5.70,1.73,0.00,2.20,22.28,6.22,17.57,21.85,5.70,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55263.109,5.453,82.3,3.214,8
102,2026-08-21 09:50:57.185,2026-08-21 09:50:57.182,MoCap→PC,8.61,0.44,0.00,5.17,9.61,7.40,8.69,9.52,8.61,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
103,2026-08-21 09:50:57.195,2026-08-21 09:50:57.193,MoCap→PC,6.75,0.44,0.00,5.17,9.61,7.40,8.67,9.52,6.75,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
104,2026-08-21 09:50:57.197,2026-08-21 09:50:57.189,EyeTracking→PC,7.91,1.73,0.00,2.20,22.28,6.26,17.55,21.85,7.91,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55263.109,5.453,95.9,3.214,8
105,2026-08-21 09:50:57.206,2026-08-21 09:50:57.204,MoCap→PC,7.45,0.44,0.00,5.17,9.61,7.40,8.65,9.52,7.45,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
106,2026-08-21 09:50:57.210,2026-08-21 09:50:57.173,PC<->VR 状态同步,37.76,0.33,0.00,37.97,38.93,38.37,38.93,38.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55263.109,5.453,108.1,3.214,8
107,2026-08-21 09:50:57.209,2026-08-21 09:50:57.199,EyeTracking→PC,10.09,1.73,0.00,2.20,22.28,6.46,17.54,21.84,10.09,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55263.109,5.453,108.2,3.214,8
