frame,time_from_origin_s,centroid_x_m,centroid_y_m,centroid_z_m,valid
462,5.133333,-0.022473,0.862732,1.046926,1
463,5.144444,-0.022460,0.862702,1.047007,1
464,5.155556,-0.022456,0.862727,1.047083,1
465,5.166667,-0.022461,0.862750,1.047183,1
466,5.177778,-0.022431,0.862782,1.047269,1
467,5.188889,-0.022432,0.862776,1.047344,1
468,5.200000,-0.022425,0.862760,1.047409,1
469,5.211111,-0.022419,0.862745,1.047484,1
470,5.222222,-0.022400,0.862775,1.047551,1
471,5.233333,-0.022376,0.862798,1.047645,1
472,5.244444,-0.022363,0.862793,1.047717,1
473,5.255556,-0.022363,0.862795,1.047788,1
474,5.266667,-0.022347,0.862797,1.047882,1
475,5.277778,-0.022321,0.862783,1.047958,1
476,5.288889,-0.022287,0.862768,1.048017,1
477,5.300000,-0.022278,0.862769,1.048092,1
478,5.311111,-0.022274,0.862785,1.048163,1
479,5.322222,-0.022242,0.862809,1.048233,1
480,5.333333,-0.022237,0.862811,1.048299,1
481,5.344444,-0.022242,0.862786,1.048374,1
482,5.355556,-0.022227,0.862798,1.048455,1
483,5.366667,-0.022225,0.862799,1.048526,1
484,5.377778,-0.022202,0.862822,1.048589,1
485,5.388889,-0.022203,0.862819,1.048642,1
486,5.400000,-0.022180,0.862844,1.048741,1
487,5.411111,-0.022192,0.862840,1.048818,1
488,5.422222,-0.022181,0.862833,1.048843,1
489,5.433333,-0.022181,0.862878,1.048968,1
490,5.444444,-0.022191,0.862862,1.049053,1
491,5.455556,-0.022184,0.862882,1.049116,1
492,5.466667,-0.022174,0.862865,1.049212,1
493,5.477778,-0.022166,0.862867,1.049301,1
494,5.488889,-0.022182,0.862867,1.049376,1
495,5.500000,-0.022175,0.862897,1.049458,1
496,5.511111,-0.022201,0.862927,1.049540,1
497,5.522222,-0.022206,0.862935,1.049613,1
498,5.533333,-0.022225,0.862903,1.049680,1
499,5.544444,-0.022241,0.862911,1.049766,1
500,5.555556,-0.022282,0.862945,1.049856,1
501,5.566667,-0.022291,0.862934,1.049931,1
502,5.577778,-0.022293,0.862939,1.050050,1
503,5.588889,-0.022293,0.862987,1.050164,1
504,5.600000,-0.022345,0.863013,1.050303,1
505,5.611111,-0.022353,0.863050,1.050408,1
506,5.622222,-0.022378,0.863085,1.050580,1
507,5.633333,-0.022395,0.863152,1.050743,1
508,5.644444,-0.022415,0.863186,1.050887,1
509,5.655556,-0.022454,0.863321,1.051136,1
510,5.666667,-0.022501,0.863407,1.051347,1
511,5.677778,-0.022526,0.863497,1.051594,1
512,5.688889,-0.022576,0.863567,1.051830,1
513,5.700000,-0.022591,0.863642,1.052064,1
514,5.711111,-0.022649,0.863751,1.052305,1
515,5.722222,-0.022653,0.863839,1.052447,1
516,5.733333,-0.022664,0.863953,1.052743,1
517,5.744444,-0.022734,0.863986,1.052950,1
518,5.755556,-0.022746,0.864049,1.053147,1
519,5.766667,-0.022829,0.864121,1.053317,1
520,5.777778,-0.022869,0.864191,1.053460,1
521,5.788889,-0.022862,0.864291,1.053552,1
522,5.800000,-0.022980,0.864321,1.053666,1
523,5.811111,-0.022990,0.864406,1.053774,1
524,5.822222,-0.023056,0.864466,1.053797,1
525,5.833333,-0.023125,0.864505,1.053852,1
526,5.844444,-0.023126,0.864626,1.053855,1
527,5.855556,-0.023180,0.864702,1.053872,1
528,5.866667,-0.023194,0.864793,1.053808,1
529,5.877778,-0.023257,0.864853,1.053791,1
530,5.888889,-0.023278,0.864926,1.053741,1
531,5.900000,-0.023263,0.865006,1.053602,1
532,5.911111,-0.023333,0.865106,1.053535,1
533,5.922222,-0.023400,0.865203,1.053424,1
534,5.933333,-0.023432,0.865299,1.053349,1
535,5.944444,-0.023461,0.865384,1.053216,1
536,5.955556,-0.023517,0.865449,1.053110,1
537,5.966667,-0.023491,0.865531,1.053082,1
538,5.977778,-0.023271,0.865691,1.053328,1
539,5.988889,-0.023290,0.865780,1.053240,1
540,6.000000,-0.023294,0.865885,1.053149,1
541,6.011111,-0.023320,0.865971,1.053065,1
542,6.022222,-0.023314,0.866036,1.052955,1
543,6.033333,-0.023314,0.866120,1.052880,1
544,6.044444,-0.023362,0.866184,1.052800,1
545,6.055556,-0.023379,0.866283,1.052708,1
546,6.066667,-0.023430,0.866319,1.052626,1
547,6.077778,-0.023426,0.866350,1.052477,1
548,6.088889,-0.023453,0.866383,1.052411,1
